City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
188,sechura,-5.5569,-80.8222,19.85,83,6,4.3,PE,1693121129
189,skeldon,5.8833,-57.1333,25.13,92,12,2.89,GY,1693121129
190,bilibino,68.0546,166.4372,9.85,78,100,2.72,RU,1693121130
191,pisco,-13.7,-76.2167,18.03,88,100,3.09,PE,1693121130
192,agdas,40.65,47.4761,25.93,44,99,3.02,AZ,1693121130
193,aleg,17.0481,-13.9209,28.87,57,100,5.04,MR,1693121131
194,kapit,2.0167,112.9333,30.04,73,100,1.14,MY,1693121132
195,port alfred,-33.5906,26.891,16.21,55,39,4.02,ZA,1693121132
196,touros,-5.1989,-35.4608,24.7,91,7,4.43,BR,1693121132
197,bandarbeyla,9.4942,50.8122,30.99,50,27,11.36,SO,1693121133
198,sakakah,29.9697,40.2064,32.76,24,0,2.37,SA,1693121133
199,tiruchchendur,8.4833,78.1167,38.16,65,54,8.86,IN,1693121106
200,natal,-5.795,-35.2094,24.12,100,20,1.03,BR,1693121134
201,katsuura,35.1333,140.3,27.01,76,100,4.3,JP,1693121134
202,bereznik,62.8551,42.7072,7.67,95,100,3.57,RU,1693121134
203,hamilton,39.1834,-84.5333,21.97,88,0,3.6,US,1693121135
204,mar del plata,-38.0023,-57.5575,4.41,89,0,1.54,AR,1693121135
205,mossel bay,-34.1831,22.146,13.96,55,11,1.79,ZA,1693121135
206,karlshuld,48.6833,11.3,17.41,91,100,2.25,DE,1693121136
207,pedernales,18.0384,-71.744,27.68,77,95,0.4,DO,1693121136
208,gadzhiyevo,69.2551,33.3362,9.92,83,100,6.1,RU,1693121136
209,pursat,12.3333,103.6667,37.12,36,86,4.23,KH,1693121137
210,shimokizukuri,40.8061,140.3861,30.29,74,100,3.45,JP,1693121137
211,geraldton,-28.7667,114.6,23.23,64,0,6.17,AU,1693121070
212,bardai,11.65,7.2333,24.21,82,100,2.0,NG,1693121138
213,cootamundra,-34.65,148.0333,17.19,73,94,1.33,AU,1693121138
214,san rafael del yuma,18.4299,-68.6739,24.76,90,93,3.56,DO,1693121138
215,barra de santo antonio,-9.4047,-35.5072,23.6,96,45,3.6,BR,1693121139
216,arkhangel'sk,64.5401,40.5433,10.43,75,100,3.59,RU,1693121139
217,daru,-9.0763,143.2092,24.74,79,100,8.59,PG,1693121139
218,rongelap,11.1635,166.8941,28.31,73,100,8.3,MH,1693121140
219,pyt-yakh,60.7499,72.8582,16.23,57,15,2.25,RU,1693121140
220,bocanda,7.0626,-4.4995,23.32,98,100,1.75,CI,1693121141
221,severo-yeniseyskiy,60.3725,93.0408,16.46,48,100,2.17,RU,1693121141
222,thompson,55.7435,-97.8558,16.09,82,0,3.6,CA,1693121141
223,brisas de zicatela,15.8369,-97.0419,25.97,87,20,2.74,MX,1693121142
224,kailua-kona,19.6406,-155.9956,26.98,86,100,3.6,US,1693121142
225,chonchi,-42.6128,-73.8092,6.73,91,100,2.48,CL,1693121142
226,tukrah,32.5341,20.5791,27.77,65,0,2.35,LY,1693120848
227,segou,13.4317,-6.2157,23.22,90,100,4.23,ML,1693121144
228,nyurba,63.2842,118.3319,25.68,34,6,2.48,RU,1693121144
229,zhangatas,43.5667,69.75,20.31,70,100,11.74,KZ,1693121145
230,tangalle,6.024,80.7911,33.09,61,80,7.06,LK,1693121145
231,iskateley,67.6803,53.1512,7.79,92,100,5.02,RU,1693121146
232,nicoya,10.1483,-85.452,24.44,94,100,0.2,CR,1693121146
233,college,64.8569,-147.8028,19.99,59,40,4.12,US,1693121147
234,sitka,57.0531,-135.33,14.94,82,20,2.06,US,1693121147
235,kununurra,-15.7667,128.7333,32.99,19,0,5.14,AU,1693121147
236,vila do maio,15.1333,-23.2167,26.44,75,35,1.22,CV,1693121148
237,rio preto da eva,-2.6994,-59.6997,23.64,65,3,1.24,BR,1693121148
238,pangai,-19.8,-174.35,22.04,69,100,9.39,TO,1693121148
239,hadibu,12.65,54.0333,28.35,72,36,9.9,YE,1693121149
240,tchibanga,-2.85,11.0333,24.28,75,92,0.5,GA,1693121149
241,dudinka,69.4058,86.1778,15.9,61,41,7.84,RU,1693121149
242,kapuskasing,49.4169,-82.4331,5.05,100,0,1.03,CA,1693121150
243,bani walid,31.7566,13.9942,29.44,42,0,3.76,LY,1693121150
244,cam pha mines,21.0167,107.3,30.3,70,100,3.79,VN,1693121150
245,cestos city,5.46,-9.5828,24.8,89,100,3.1,LR,1693121151
246,ambalangoda,6.2355,80.0538,29.27,70,100,4.08,LK,1693121151
247,tsiombe,-25.3,45.4833,28.3,36,5,5.71,MG,1693121151
248,xilin hot,43.9667,116.0333,24.8,21,0,3.98,CN,1693121152
249,belyy yar,53.6039,91.3903,25.94,53,0,2.0,RU,1693121152
250,hailar,49.2,119.7,22.78,41,26,2.21,CN,1693121152
251,lompoc,34.6391,-120.4579,16.07,87,100,4.47,US,1693121153
252,nuku'alofa,-21.1333,-175.2,20.19,68,40,4.63,TO,1693121153
253,afaahiti,-17.75,-149.2833,23.93,74,13,7.64,PF,1693121154
254,rothwell,52.4167,-0.8,13.39,93,26,2.68,GB,1693121154
255,san rafael,-34.6177,-68.3301,7.0,81,0,1.4,AR,1693121155
256,zeribet el oued,34.6828,6.5111,33.71,20,0,0.61,DZ,1693121155
257,callao,-12.0667,-77.15,20.4,77,100,3.6,PE,1693121155
258,maumere,-8.6199,122.2111,27.98,57,11,3.74,ID,1693121156
259,narrabri,-30.3167,149.7833,20.29,49,99,0.89,AU,1693121156
260,farasan,16.7022,42.1183,31.57,76,41,4.97,SA,1693121156
261,tvoroyri,61.5556,-6.8111,10.73,89,100,3.99,FO,1693121157
262,novyy urengoy,66.0833,76.6333,15.49,57,69,6.69,RU,1693121157
263,alice springs,-23.7,133.8833,26.75,11,3,5.14,AU,1693121158
264,praia da vitoria,38.7333,-27.0667,22.14,83,75,7.17,PT,1693121158
265,cidreira,-30.1811,-50.2056,7.81,74,1,3.64,BR,1693121158
266,booue,-0.0921,11.9385,25.23,84,93,2.06,GA,1693121159
267,lihue,21.9789,-159.3672,26.77,75,75,8.23,US,1693121159
268,gamba,-2.65,10.0,23.66,86,98,2.79,GA,1693121159
269,benguela,-12.5763,13.4055,21.48,85,17,2.61,AO,1693121160
270,la gi,10.6667,107.7833,31.75,64,88,5.55,VN,1693121139
271,kapa'a,22.0752,-159.319,27.18,81,75,8.23,US,1693121160
272,flying fish cove,-10.4217,105.6791,25.82,73,75,6.69,CX,1693121161
273,al jawf,29.5,38.75,30.31,26,0,4.07,SA,1693121161
274,santa cruz,-17.8,-63.1667,20.7,35,75,4.63,BO,1693121162
275,sibolga,1.7427,98.7792,29.49,72,28,2.74,ID,1693121163
276,al burayqah,30.4062,19.5739,27.55,69,0,3.78,LY,1693121163
277,mata-utu,-13.2816,-176.1745,27.33,78,100,10.2,WF,1693121164
278,bad rothenfelde,52.1167,8.1667,16.51,80,100,3.38,DE,1693121164
279,nassau,40.7507,-73.5829,23.15,82,0,1.54,US,1693121164
280,qui nhon,13.7667,109.2333,36.04,46,100,4.96,VN,1693121165
281,sorong,-0.8833,131.25,27.52,73,100,6.51,ID,1693121165
282,muang xay,20.7,101.9833,26.88,89,100,2.26,LA,1693121165
283,pervomayskiy,53.2485,40.2871,19.21,72,50,2.69,RU,1693121166
284,labytnangi,66.6572,66.4183,10.85,60,93,5.5,RU,1693121166
285,san patricio,28.017,-97.5169,28.92,83,0,2.2,US,1693121166
286,port augusta,-32.5,137.7667,16.18,55,0,5.39,AU,1693121167
